desig ,User Pedon ID                 ,Top Depth,Bottom Depth
Btg1        ,S1993MN111002                 ,0,67
A1          ,S1993MN111002                 ,88,180
BCg         ,S2011ND071001                 ,36,87
Cg          ,S2011ND071001                 ,0,46
Btg1        ,S2011ND071002                 ,0,50
Btg2        ,S2011ND071002                 ,0,50
BCg         ,S2011ND071002                 ,0,50
A1          ,S2015ND093026                 ,36,100
Btg1        ,S2015ND093026                 ,0,200
A2          ,S2015ND093026                 ,2,75
Btg2        ,S2015ND093026                 ,36,200
A1          ,S2016ND083001                 ,0,45
A2          ,S2016ND083001                 ,0,45
A1          ,S2017ND093063                 ,0,40
A2          ,S2017ND093063                 ,40,100
Btg1        ,S2017ND093063                 ,0,40
Btg2        ,S2017ND093063                 ,0,40
Cg          ,S2017ND093063                 ,0,40
